1, A Journey to the Center of the Earth, Arthur Conan Doyle, Romance, 2000
2, Dracula, C.S. Lewis, Fantasy, 1930
3, Frankenstein, Arthur Conan Doyle, Biography, 1970
4, A Tale of Two Cities, Fyodor Dostoyevsky, Horror, 2017
5, Lord of the Flies, J.K. Rowling, Horror, 1904
6, The Hunchback of Notre Dame, Jane Austen, Science Fiction, 1940
7, Crime and Punishment, Erich Maria Remarque, Thriller, 2002
8, The Grapes of Wrath, Albert Camus, Mystery, 1988
9, The Grapes of Wrath, Nathaniel Hawthorne, Horror, 1991
10, The Adventures of Huckleberry Finn, Stephen Crane, Non-Fiction, 1963
11, Tess of the d'Urbervilles, Franz Kafka, Romance, 1997
12, The Wind in the Willows, Jules Verne, Classics, 1908
13, The Adventures of Tom Sawyer, John Bunyan, Non-Fiction, 1971
14, Frankenstein, Emily Brontë, Adventure, 2010
15, A Journey to the Center of the Earth, J.D. Salinger, Historical Fiction, 1979
16, The Complete Sherlock Holmes, Aldous Huxley, Adventure, 1908
17, Jane Eyre, J.R.R. Tolkien, Drama, 1966
18, Anne of Green Gables, Anna Sewell, Classics, 1976
19, Great Expectations, Aldous Huxley, Classics, 1970
20, The Complete Sherlock Holmes, Leo Tolstoy, Adventure, 1978
21, The House of the Seven Gables, Harriet Beecher Stowe, Biography, 2000
22, Gone with the Wind, Harper Lee, Biography, 1921
23, My Ántonia, D.H. Lawrence, Romance, 1952
24, The Wind in the Willows, John Steinbeck, Thriller, 1901
25, The Complete Sherlock Holmes, Jules Verne, Classics, 1984
26, The Three Musketeers, Kenneth Grahame, Drama, 1955
27, The Great Gatsby, Johanna Spyri, Children's, 2011
28, Oliver Twist, Leo Tolstoy, Poetry, 1913
29, Gone with the Wind, Fyodor Dostoyevsky, Fantasy, 1966
30, To Kill a Mockingbird, James Joyce, Drama, 1995
31, Fahrenheit 451, John Bunyan, Non-Fiction, 1998
32, Oliver Twist, Jane Austen, Classics, 1901
33, Dracula, Johanna Spyri, Fantasy, 1922
34, 20,000 Leagues Under the Sea, William Makepeace Thackeray, Poetry, 2012
35, The Catcher in the Rye, Gustave Flaubert, Thriller, 1945
36, The Count of Monte Cristo, Mary Shelley, Classics, 1959
37, David Copperfield, Louisa May Alcott, Romance, 1958
38, Gone with the Wind, D.H. Lawrence, Drama, 1958
39, The Catcher in the Rye, Franz Kafka, Mystery, 1913
40, Pinocchio, L. Frank Baum, Children's, 1911
41, The Catcher in the Rye, Jane Austen, Biography, 1925
42, The Wizard of Oz, George Orwell, Historical Fiction, 2020
43, The Old Man and the Sea, Oscar Wilde, Fiction, 1924
44, My Ántonia, John Bunyan, Mystery, 1930
45, Vanity Fair, Charlotte Brontë, Adventure, 1969
46, A Tale of Two Cities, L. Frank Baum, Classics, 2017
47, Madame Bovary, Anna Sewell, Horror, 1998
48, Anna Karenina, Alexandre Dumas, Fiction, 1946
49, Sense and Sensibility, Mary Shelley, Historical Fiction, 1994
50, The Wizard of Oz, Emily Brontë, Horror, 1930
51, Fahrenheit 451, Miguel de Cervantes, Historical Fiction, 1914
52, To Kill a Mockingbird, J.R.R. Tolkien, Biography, 1964
53, Anne of Green Gables, Thomas Hardy, Fiction, 1942
54, The Catcher in the Rye, Fyodor Dostoyevsky, Classics, 1994
55, Pride and Prejudice, Albert Camus, Historical Fiction, 2016
56, Kidnapped, Franz Kafka, Thriller, 1910
57, Harry Potter and the Chamber of Secrets, Franz Kafka, Drama, 2013
58, Peter Pan, Jack London, Mystery, 1938
59, The Scarlet Letter, Lewis Carroll, Fiction, 1907
60, 20,000 Leagues Under the Sea, Anna Sewell, Mystery, 1925
61, Ulysses, Gabriel García Márquez, Adventure, 1904
62, Little Women, Jane Austen, Fiction, 1938
63, Fahrenheit 451, Franz Kafka, Drama, 1983
64, The Lion, the Witch, and the Wardrobe, J.K. Rowling, Classics, 1911
65, Pride and Prejudice, Arthur Conan Doyle, Thriller, 1933
66, David Copperfield, Arthur Conan Doyle, Drama, 2018
67, Ivanhoe, Nathaniel Hawthorne, Horror, 1916
68, Pinocchio, Aldous Huxley, Fantasy, 1918
69, Gone with the Wind, Antoine de Saint-Exupéry, Children's, 1904
70, Vanity Fair, L.M. Montgomery, Poetry, 1958
71, The Adventures of Huckleberry Finn, Antoine de Saint-Exupéry, Fantasy, 2018
72, Oliver Twist, Robert Louis Stevenson, Drama, 1966
73, The Adventures of Huckleberry Finn, Frances Hodgson Burnett, Thriller, 1988
74, 20,000 Leagues Under the Sea, Louisa May Alcott, Children's, 1984
75, The Return of the King, Aldous Huxley, Poetry, 1986
76, David Copperfield, Jane Austen, Science Fiction, 1960
77, Lord of the Flies, F. Scott Fitzgerald, Mystery, 2022
